country_name,country_code,region,total_suicides,avg_suicide_rate,avg_population,year_min,year_max
Albania,AL,Europe,681864,4.076900990881905,21169932.92253521,1985,2016
Antigua and Barbuda,AN,Americas,463548,0.9431147897846991,10606583.470059881,1985,2016
Argentina,AR,Americas,118301,10.48361397821073,3486641.943850267,1985,2016
Australia,AU,Oceania,317872,12.97727989201281,6901626.379120879,1985,2016
Azerbaijan,AZ,Asia,1618613,3.240527964155708,62746837.58928572,1985,2016
Bahamas,BA,Americas,1001952,1.8829377390091304,30052346.50340136,1985,2016
Belarus,BE,Europe,959834,29.516502085913803,30091932.843065694,1985,2016
Bosnia and Herzegovina,BO,Europe,2331943,10.019525267657412,225293336.39285713,1985,2016
Brazil,BR,Americas,360171,5.8769509912174875,16379546.513368985,1985,2016
Bulgaria,BU,Europe,231742,19.380540665992758,5980342.766483516,1985,2016
Cabo Verde,CA,Africa,2274017,11.664169330288605,259011761.4189189,1985,2016
Chile,CH,Americas,113130,10.553671235254244,2535045.1711229947,1985,2016
Colombia,CO,Americas,174374,5.463352520986678,5011755.077540107,1985,2016
Croatia,CR,Europe,814262,22.009840382206693,26194305.75886525,1985,2016
Cuba,CU,Americas,831129,20.658239264898317,24661424.51973684,1985,2016
Cyprus,CY,Europe,1174957,4.600188270613154,47701218.14622641,1985,2016
Czech Republic,CZ,Europe,608747,18.303448240412738,15933457.102409638,1985,2016
Denmark,DE,Europe,759550,13.835331196061794,24297710.53521127,1985,2016
Dominica,DO,Americas,2766784,10.840831056736997,290936293.8648649,1985,2016
Ecuador,EC,Americas,34257,6.316395097450141,1280299.1737967914,1985,2016
El Salvador,EL,Americas,680157,10.598556631784499,20235501.20394737,1985,2016
Estonia,ES,Europe,868447,26.114339544684025,26794816.605839416,1985,2016
Fiji,FI,Oceania,1803102,6.7249709793806645,87562045.41954023,1985,2016
France,FR,Europe,488425,21.5664937657613,8749939.96978022,1985,2016
Georgia,GE,Asia,687937,4.788248881626163,19699888.42253521,1985,2016
Greece,GR,Europe,118883,4.097484029672106,3895287.606951872,1985,2016
Guatemala,GU,Americas,160533,3.2975566382882135,4244675.112637362,1985,2016
Hungary,HU,Europe,376770,31.95956055517562,9605314.211180124,1985,2016
Iceland,IC,Europe,1108,12.800366492146596,22010.21989528796,1985,2016
Ireland,IR,Europe,246469,10.79146416350596,6064042.035714285,1985,2016
Israel,IS,Asia,102461,8.948911912097765,2994746.553475936,1985,2016
Italy,IT,Europe,212295,8.528867701941584,6675032.663101604,1985,2016
Jamaica,JA,Americas,1309335,2.048544669430845,44094859.474358976,1985,2016
Kazakhstan,KA,Asia,844997,29.825098698779072,20668564.913580246,1985,2016
Kiribati,KI,Oceania,2214682,8.014782475188404,101902883.20689656,1985,2016
Kuwait,KU,Asia,747026,1.688458630284565,17633730.458598725,1985,2016
Kyrgyzstan,KY,Asia,715435,14.153105518780325,18387396.441358026,1985,2016
Latvia,LA,Europe,925224,27.851943886547268,28615610.81751825,1985,2016
Lithuania,LI,Europe,904706,38.33467035842332,29475004.34751773,1985,2016
Luxembourg,LU,Europe,197153,16.546506927465224,3400224.5721925134,1985,2016
Macau,MA,Asia,2462470,12.38587769376009,283663137.6891892,1985,2016
Mexico,ME,Americas,179036,4.7638997104571414,8642487.79144385,1985,2016
Mongolia,MO,Asia,2490869,12.27244909631096,315145565.6388889,1985,2016
Netherlands,NE,Europe,50833,10.645340314136126,1244401.227748691,1985,2016
Nicaragua,NI,Americas,1747450,8.902389660583742,117040823.89516129,1985,2016
Norway,NO,Europe,218123,12.929641479033013,5526496.510989011,1985,2016
Oman,OM,Asia,2947963,7.680372123605989,266644427.68085107,1985,2016
Panama,PA,Americas,594276,6.057452344290207,15841900.0955414,1985,2016
Philippines,PH,Asia,1062246,3.8438955335272995,47975394.3317757,1985,2016
Poland,PO,Europe,577850,15.07884654175246,16301653.83881579,1985,2016
Puerto Rico,PU,Americas,39903,10.192945518280315,1048865.0989304814,1985,2016
Qatar,QA,Asia,1495597,3.387810184660334,60108138.693396226,1985,2016
South Korea,RE,Asia,396455,25.066385040675794,6221494.807486631,1985,2016
Romania,RO,Europe,371422,12.459440723006356,9806438.192982456,1985,2016
Russia,RU,Europe,1632080,34.218689030046164,22190128.91017964,1985,2016
Saint Kitts and Nevis,SA,Americas,2393571,7.704614453351701,210514807.40425533,1985,2016
Serbia,SE,Europe,1147502,20.856546160940034,43035574.32786885,1985,2016
Singapore,SI,Asia,130206,17.036489826442327,2571833.4171122992,1985,2016
Slovakia,SL,Europe,703685,12.557512790081425,20726072.028169014,1985,2016
South Africa,SO,Africa,1243842,1.92908195721357,43147701.446969695,1985,2016
Spain,SP,Europe,269449,9.470259398347913,6268690.949197861,1985,2016
Sri Lanka,SR,Asia,2049646,29.71990972825109,93873414.70114942,1985,2016
Suriname,SU,Americas,384628,21.06429201132049,8691680.662790697,1985,2016
Sweden,SW,Europe,150907,14.627127470871152,3558366.682320442,1985,2016
Thailand,TH,Asia,443338,7.145503164533324,14074387.692982456,1985,2016
Trinidad and Tobago,TR,Americas,461836,13.74800329139715,13403389.45508982,1985,2016
Turkey,TU,Europe,1849189,5.762633612620618,125255493.25373134,1985,2016
Ukraine,UK,Europe,578791,26.210704151585233,10117563.194767442,1985,2016
United Arab Emirates,UN,Asia,2370233,5.906703620630697,158009497.20967743,1985,2016
Uruguay,UR,Americas,576772,19.296710053960826,13162142.279069768,1985,2016
Uzbekistan,UZ,Asia,806310,8.318612108573664,26346567.221830986,1985,2016
