country_name,country_code,region,year,suicides_no,population,suicide_rate_per_100k
Albania,AL,Europe,1987,73,225800.0,2.654166666666667
Albania,AL,Europe,1988,63,230358.33333333334,2.705
Albania,AL,Europe,1989,68,233591.66666666666,2.783333333333333
Albania,AL,Europe,1992,47,235208.33333333334,1.5
Albania,AL,Europe,1993,73,233941.66666666666,2.7133333333333334
Albania,AL,Europe,1994,50,237441.66666666666,2.6816666666666666
Albania,AL,Europe,1995,88,241950.0,3.3791666666666664
Albania,AL,Europe,1996,89,245016.66666666666,3.635
Albania,AL,Europe,1997,170,248108.33333333334,6.452500000000001
Albania,AL,Europe,1998,154,251058.33333333334,5.543333333333333
Albania,AL,Europe,1999,139,252475.0,5.8175
Albania,AL,Europe,2000,54,233025.0,2.558333333333333
Albania,AL,Europe,2001,119,233279.08333333334,4.218333333333334
Albania,AL,Europe,2002,133,234903.25,5.2091666666666665
Albania,AL,Europe,2003,124,236994.08333333334,4.883333333333334
Albania,AL,Europe,2004,146,239582.58333333334,5.449166666666667
Albania,AL,Europe,2005,0,231943.33333333334,0.0
Albania,AL,Europe,2006,0,231681.33333333334,0.0
Albania,AL,Europe,2007,124,230862.0,5.4875
Albania,AL,Europe,2008,160,229754.91666666666,5.920833333333333
Albania,AL,Europe,2009,0,228811.25,0.0
Albania,AL,Europe,2010,96,228002.08333333334,3.4716666666666662
Antigua and Barbuda,AN,Americas,1985,0,5214.5,0.0
Antigua and Barbuda,AN,Americas,1986,0,5105.833333333333,0.0
Antigua and Barbuda,AN,Americas,1987,0,5021.75,0.0
Antigua and Barbuda,AN,Americas,1988,0,4963.666666666667,0.0
Antigua and Barbuda,AN,Americas,1989,0,4936.5,0.0
Antigua and Barbuda,AN,Americas,1990,1,4944.5,1.4366666666666665
Antigua and Barbuda,AN,Americas,1991,0,5032.833333333333,0.0
Antigua and Barbuda,AN,Americas,1992,0,5145.083333333333,0.0
Antigua and Barbuda,AN,Americas,1993,1,5276.25,1.25
Antigua and Barbuda,AN,Americas,1994,0,5420.333333333333,0.0
Antigua and Barbuda,AN,Americas,1995,0,5570.5,0.0
Antigua and Barbuda,AN,Americas,1998,0,6018.75,0.0
Antigua and Barbuda,AN,Americas,1999,0,6152.666666666667,0.0
Antigua and Barbuda,AN,Americas,2000,2,6277.166666666667,3.330833333333333
Antigua and Barbuda,AN,Americas,2001,2,6374.75,1.6208333333333333
Antigua and Barbuda,AN,Americas,2002,0,6465.666666666667,0.0
Antigua and Barbuda,AN,Americas,2003,1,6554.833333333333,2.3183333333333334
Antigua and Barbuda,AN,Americas,2004,2,6643.5,3.0050000000000003
Antigua and Barbuda,AN,Americas,2005,0,6734.083333333333,0.0
Antigua and Barbuda,AN,Americas,2006,0,6831.083333333333,0.0
Antigua and Barbuda,AN,Americas,2007,1,6927.583333333333,0.665
Antigua and Barbuda,AN,Americas,2008,0,7022.75,0.0
Antigua and Barbuda,AN,Americas,2009,0,7117.083333333333,0.0
Antigua and Barbuda,AN,Americas,2012,0,7391.916666666667,0.0
Antigua and Barbuda,AN,Americas,2013,0,7481.583333333333,0.0
Antigua and Barbuda,AN,Americas,2014,0,7569.75,0.0
Antigua and Barbuda,AN,Americas,2015,1,7657.416666666667,1.3016666666666665
Argentina,AR,Americas,1985,1988,2257566.6666666665,11.205833333333333
Argentina,AR,Americas,1986,2284,2270366.6666666665,12.741666666666667
Argentina,AR,Americas,1987,2286,2299950.0,12.081666666666665
Argentina,AR,Americas,1988,2354,2359000.0,12.186666666666667
Argentina,AR,Americas,1989,2247,2391833.3333333335,11.5775
Argentina,AR,Americas,1990,2140,2424258.3333333335,11.241666666666667
Argentina,AR,Americas,1991,1951,2468583.3333333335,9.936666666666666
Argentina,AR,Americas,1992,2184,2503783.3333333335,10.571666666666667
Argentina,AR,Americas,1993,2230,2539791.6666666665,11.230833333333335
Argentina,AR,Americas,1994,2241,2575933.3333333335,10.170833333333333
Argentina,AR,Americas,1995,2204,2612116.6666666665,9.9975
Argentina,AR,Americas,1996,2229,2648391.6666666665,9.835833333333333
Argentina,AR,Americas,1997,2184,2694481.75,9.283333333333333
Argentina,AR,Americas,1998,2347,2729771.5833333335,9.744166666666667
Argentina,AR,Americas,1999,2423,2764571.8333333335,9.765833333333333
Argentina,AR,Americas,2000,2774,2798794.4166666665,10.949166666666665
Argentina,AR,Americas,2001,3132,2834245.5,11.963333333333333
Argentina,AR,Americas,2002,3162,2867292.25,11.618333333333334
Argentina,AR,Americas,2003,3289,2898825.5833333335,12.190833333333332
Argentina,AR,Americas,2004,3121,2930245.4166666665,10.921666666666667
Argentina,AR,Americas,2005,3058,2962551.4166666665,10.681666666666667
Argentina,AR,Americas,2006,3108,2993240.5,10.685
Argentina,AR,Americas,2007,2946,3026291.0,9.862499999999999
Argentina,AR,Americas,2008,3059,3061126.6666666665,9.8425
Argentina,AR,Americas,2009,2884,3096500.0833333335,8.943333333333333
Argentina,AR,Americas,2010,2943,3131537.8333333335,9.27
Argentina,AR,Americas,2011,2912,3167978.25,8.8225
Argentina,AR,Americas,2012,3248,3203481.5,9.985
Argentina,AR,Americas,2013,2987,3238260.4166666665,8.618333333333334
Argentina,AR,Americas,2014,3231,3273046.25,9.279166666666667
Argentina,AR,Americas,2015,3073,3308302.0,9.344166666666666
Australia,AU,Oceania,1985,1861,1213541.6666666667,13.6175
Australia,AU,Oceania,1986,2044,1234150.0,14.649166666666666
Australia,AU,Oceania,1987,2164,1253875.0,15.735
Australia,AU,Oceania,1988,2172,1276008.3333333333,14.943333333333333
Australia,AU,Oceania,1989,2066,1297550.0,14.009166666666667
Australia,AU,Oceania,1990,2202,1317250.0,14.362499999999999
Australia,AU,Oceania,1991,2288,1334341.6666666667,15.012500000000001
Australia,AU,Oceania,1992,2251,1350291.6666666667,14.22
Australia,AU,Oceania,1993,2038,1364166.6666666667,12.912500000000001
Australia,AU,Oceania,1994,2283,1379116.6666666667,13.979166666666666
Australia,AU,Oceania,1995,2170,1397191.6666666667,12.9325
Australia,AU,Oceania,1996,2426,1417925.0,14.611666666666666
Australia,AU,Oceania,1997,2646,1435108.3333333333,15.5775
Australia,AU,Oceania,1998,2632,1451810.8333333333,14.700833333333334
Australia,AU,Oceania,1999,2488,1470141.8333333333,13.929166666666667
Australia,AU,Oceania,2000,2391,1489534.1666666667,13.151666666666666
Australia,AU,Oceania,2001,2458,1510906.9166666667,13.2325
Australia,AU,Oceania,2002,2319,1530838.1666666667,12.056666666666667
Australia,AU,Oceania,2003,2156,1550669.0833333333,11.153333333333334
Australia,AU,Oceania,2004,2114,1571212.5833333333,11.146666666666667
Australia,AU,Oceania,2006,2117,1592437.1666666667,10.6575
Australia,AU,Oceania,2007,2229,1644535.8333333333,10.854166666666666
Australia,AU,Oceania,2008,2341,1676692.6666666667,10.874166666666667
Australia,AU,Oceania,2009,2337,1710776.4166666667,10.843333333333334
Australia,AU,Oceania,2010,2420,1737295.5833333333,11.053333333333335
Australia,AU,Oceania,2011,2392,1740159.1666666667,11.101666666666667
Australia,AU,Oceania,2012,2580,1769909.0833333333,11.630833333333333
Australia,AU,Oceania,2013,2608,1800015.0,11.565
Australia,AU,Oceania,2014,2891,1827298.9166666667,12.4225
