word,frequency
just,55030
with,43224
don,40414
like,38948
not,35439
want,31631
all,30955
about,28603
know,28287
life,26253
feel,26157
myself,24465
out,24393
because,23568
get,23525
her,21365
people,20432
now,20286
even,19520
one,19433
time,18449
really,18031
from,16398
there,16050
think,15547
them,14539
never,14484
going,14454
only,14270
filler,13523
day,13356
friends,13065
more,13047
much,12849
some,12455
help,12342
then,11330
years,11068
fuck,10521
things,10505
any,10501
got,10305
make,10262
him,10145
here,10068
fucking,9971
too,9931
good,9929
someone,9846
school,9831
anything,9786
way,9571
anymore,9490
see,9193
back,9161
still,9085
over,9011
something,8968
everything,8914
family,8870
need,8829
your,8750
die,8633
better,8632
other,8547
nothing,8537
anyone,8455
always,8434
every,8392
end,8337
after,8319
love,8239
kill,8218
live,8099
talk,7998
right,7850
year,7848
suicide,7823
didn,7768
than,7730
say,7540
ever,7488
shit,7485
into,7387
work,7365
off,7228
everyone,7216
again,7205
last,7157
hate,7153
thing,6952
take,6896
bad,6808
person,6795
were,6759
friend,6675
since,6655
very,6543
told,6506
before,6501
